"Gene"	"Plate96"	"Row96"	"Column96"	"Plate384"	"Row384"	"Column384"	"Plate1536"	"Row1536"	"Column1536"	"Plate6144"	"Row6144"	"Column6144"
"rihC"	"1"	"A"	"01"	"1"	"A"	"01"	"1"	"0A"	"01"	"1"	"0A"	"01"
"rihC"	"1"	"A"	"01"	"1"	"A"	"01"	"1"	"0A"	"01"	"1"	"0A"	"02"
"yhiI"	"5"	"A"	"01"	"2"	"A"	"01"	"1"	"0A"	"02"	"1"	"0A"	"03"
"yhiI"	"5"	"A"	"01"	"2"	"A"	"01"	"1"	"0A"	"02"	"1"	"0A"	"04"
"alsI"	"2"	"A"	"01"	"1"	"A"	"02"	"1"	"0A"	"03"	"1"	"0A"	"05"
"alsI"	"2"	"A"	"01"	"1"	"A"	"02"	"1"	"0A"	"03"	"1"	"0A"	"06"
"coaE"	"6"	"A"	"01"	"2"	"A"	"02"	"1"	"0A"	"04"	"1"	"0A"	"07"
"coaE"	"6"	"A"	"01"	"2"	"A"	"02"	"1"	"0A"	"04"	"1"	"0A"	"08"
"yabP"	"1"	"A"	"02"	"1"	"A"	"03"	"1"	"0A"	"05"	"1"	"0A"	"09"
"yabP"	"1"	"A"	"02"	"1"	"A"	"03"	"1"	"0A"	"05"	"1"	"0A"	"10"
"yhiJ"	"5"	"A"	"02"	"2"	"A"	"03"	"1"	"0A"	"06"	"1"	"0A"	"11"
"yhiJ"	"5"	"A"	"02"	"2"	"A"	"03"	"1"	"0A"	"06"	"1"	"0A"	"12"
"talB"	"2"	"A"	"02"	"1"	"A"	"04"	"1"	"0A"	"07"	"1"	"0A"	"13"
"talB"	"2"	"A"	"02"	"1"	"A"	"04"	"1"	"0A"	"07"	"1"	"0A"	"14"
"rumA"	"6"	"A"	"02"	"2"	"A"	"04"	"1"	"0A"	"08"	"1"	"0A"	"15"
"rumA"	"6"	"A"	"02"	"2"	"A"	"04"	"1"	"0A"	"08"	"1"	"0A"	"16"
"yabI"	"1"	"A"	"03"	"1"	"A"	"05"	"1"	"0A"	"09"	"1"	"0A"	"17"
"yabI"	"1"	"A"	"03"	"1"	"A"	"05"	"1"	"0A"	"09"	"1"	"0A"	"18"
"yeaX"	"5"	"A"	"03"	"2"	"A"	"05"	"1"	"0A"	"10"	"1"	"0A"	"19"
"yeaX"	"5"	"A"	"03"	"2"	"A"	"05"	"1"	"0A"	"10"	"1"	"0A"	"20"
"talA"	"2"	"A"	"03"	"1"	"A"	"06"	"1"	"0A"	"11"	"1"	"0A"	"21"
"talA"	"2"	"A"	"03"	"1"	"A"	"06"	"1"	"0A"	"11"	"1"	"0A"	"22"
"soxS"	"6"	"A"	"03"	"2"	"A"	"06"	"1"	"0A"	"12"	"1"	"0A"	"23"
"soxS"	"6"	"A"	"03"	"2"	"A"	"06"	"1"	"0A"	"12"	"1"	"0A"	"24"
"ilvI"	"1"	"A"	"04"	"1"	"A"	"07"	"1"	"0A"	"13"	"1"	"0A"	"25"
"ilvI"	"1"	"A"	"04"	"1"	"A"	"07"	"1"	"0A"	"13"	"1"	"0A"	"26"
"yebU"	"5"	"A"	"04"	"2"	"A"	"07"	"1"	"0A"	"14"	"1"	"0A"	"27"
"yebU"	"5"	"A"	"04"	"2"	"A"	"07"	"1"	"0A"	"14"	"1"	"0A"	"28"
"pfkB"	"2"	"A"	"04"	"1"	"A"	"08"	"1"	"0A"	"15"	"1"	"0A"	"29"
"pfkB"	"2"	"A"	"04"	"1"	"A"	"08"	"1"	"0A"	"15"	"1"	"0A"	"30"
"yhcF"	"6"	"A"	"04"	"2"	"A"	"08"	"1"	"0A"	"16"	"1"	"0A"	"31"
"yhcF"	"6"	"A"	"04"	"2"	"A"	"08"	"1"	"0A"	"16"	"1"	"0A"	"32"
"secM"	"1"	"A"	"05"	"1"	"A"	"09"	"1"	"0A"	"17"	"1"	"0A"	"33"
"secM"	"1"	"A"	"05"	"1"	"A"	"09"	"1"	"0A"	"17"	"1"	"0A"	"34"
"b1966"	"5"	"A"	"05"	"2"	"A"	"09"	"1"	"0A"	"18"	"1"	"0A"	"35"
