Promoter,Sulfamethoxazine.12,Sulfisoxazole.12,Ampicillin.14,Cefadroxil.14,Ceftriaxzone.12,Colistin.12,DIP.14,Dirithromycin.12,Erythromycin.12,Linezolid.12,Mecillinam.12,Metronidazole.12,Minocycline.14,Neomycin.12,PolymyxinB.12,Rifampicin.14,SPR741.12,Sulfadimethoxine.14,Sulfamethoxazole.14,Sulfathiazole.14,D.cycloserine.14,FusidicAcid.14,Novobiocin.14,Sulfathiazole.18,Trimethoprim.18,Ampicillin.18,Cefazolin.14,Cefoxitin.14,Ceftriaxone.14,Chloramphenicol.18,DIP.18,Dirithromycin.14,Erythromycin.18,Linezolid.18,Mecillinam.14,Metronidazole.18,Minocycline.18,Neomycin.18,Norfloxacin.12,Rifampicin.14.1,Rifapentine.18,MitomycinC.18,A22.12,Ampicillin.14.1,Azithromycin.12,Dcycloserine.14,Doxycycline.12,Furazolidone.12,PBnonapeptide.12,PenicillinG,Spectinomycin.14,Sulfamethazine.14,Sulfamethoxazole.12,Sulfamethoxazole.12.1,A22.14,Azithromycin.14,Cefadroxil.14.1,Cefmetazole.14,Cefoxime.14,Cefoxitin.14.1,Cerulenin.14,D.cycloserine.18,Doxycycline.14,Nitrofurantoin.14,Novobiocin.18,Paraquat.14,PBnonapeptide.14,Rifabutin.14,SodiumBicarbonate.25,Sulfamethoxazole.14.1,Sulfamethoxazole.14.2,A22.18,Apramycin.14,Azithromycin.18,CCCP.18,Cefadroxil.18,Cefmetazole.18,Cefoxitin.18,Cerulenin.18,Doxycycline.18,Enoxacin.18,Furazolidone.18,Imipenem.12,Nitrofurantoin.18,Paraquat.18,PBnonapeptide.18,PF5081090.18,Rifabutin.18,SodiumBicarbonate.12,Sulfamethoxazole.18,Sulfamethoxazole.18.1,Cefmetazole.12,Chloramphenicol.12,Cinoxacin.12,Ciprofloxacin.14,NalidixicAcid.12,Streptomycin.12,Sulfadimethoxine.12,Tetracycline.12,Thiamphenicol.18,Triclosan.12,Lincomycin.14,Sulfamethoxazine.14,Sulfisoxazole.14,CHIR090.14,Chloramphenicol.14,Cinoxacin.14,EDTA.14,Meropenem.14,NalidixicAcid.14,Streptomycin.14,Tetracycline.14,Thiamphenicol.14,Triclosan.14,Rifabutin.12,Sulfamethoxazine.18,Sulfisoxazole.18,Ampicillin.18.1,Apramycin.18,Cefmetazole.14.1,Ceftriaxone.18,CHIR090.18,Chloramphenicol.18.1,Cinoxacin.18,Ciprofloxacin.18,Gentamicin.18,Meropenem.18,PenicillinG.18,PolymyxinB.14,PolymyxinB.18,Streptomycin.18,Sulfadimethoxine.18,Tetracycline.18,Thiamphenicol.12,Thiamphenicol.18.1,Triclosan.18,Trimethoprim.18.1,Fosfomycin,Rifampicin.12,Sulfamethoxazole.12.2,Sulfathiazole.12,Cholesterol20,Cholesterol40,Sulfamethizole.10,Spectomycin.4
rihC,-1.148845305,-2.589246967,-1.496020013,-0.934690311,1.939024585,1.35041697,0.53438037,-0.120737597,1.130215233,-0.446551057,1.121625922,1.396498522,-1.005958404,-0.8493315,-0.700874285,0.579590409,-0.297188871,0.110966872,-1.873631762,-1.710474987,-1.276728891,-1.596673835,-0.51767158,-1.950468132,-1.386798984,-1.349901653,-1.078639498,0.14544923,-1.060422358,-1.545854531,-0.485606144,-1.165230697,-0.505035566,-1.633605764,-0.819821978,-1.211888192,-0.828702916,-2.68773877,-0.448468715,0.244841245,-0.141901833,-2.178755938,0.288191229,-0.690318819,1.603685603,3.612970061,-1.276026397,2.190058693,-1.806270953,-0.916496689,1.336003315,-1.333031107,0.062429965,0.708481041,3.89406602,2.955033224,0.967279109,-1.498191702,3.768824538,-0.47768838,-0.219221274,-1.639881672,-0.807225435,-1.210258329,-1.338222585,1.512770362,-1.125185702,0.992641086,-0.185782618,-0.884352465,1.188030277,0.652652765,0.465029388,2.608132554,0.884944434,-0.809886505,0.353477887,0.458687572,0.326661394,-0.94509098,-0.837864528,0.407926543,0.006387611,-0.958851158,0.569290707,-0.632673855,-2.589976191,5.022292449,0.17481429,0.045477339,1.572384945,1.311179648,1.159954555,-0.234869991,0.806612213,0.876964097,3.66691261,9.827426615,3.586221759,5.588838008,5.496607746,-2.500510605,-1.999981896,-1.860794889,-0.965195653,-0.458707039,0.858147891,0.045788545,1.552169153,-0.369427683,0.368181192,-0.125580238,1.252113337,3.632995487,-1.9974035,3.619215323,-0.625500252,-1.77141974,0.199154417,0.93495567,1.191080407,-0.794774777,-0.053975104,-0.332041181,-0.591722804,3.789557588,1.370605063,-1.456036963,-0.20101012,-1.741149518,-0.292974065,0.030975468,-0.374791003,2.314670672,0.354740725,-3.196886596,-2.60471662,1.07105007,2.679913593,-0.876692862,-2.34390132,-0.636310067,-0.668059588,-1.178810344,-0.390190165
yhiI,-1.523031684,-1.376849085,-1.300071704,-0.55803832,-0.046241448,0.262495961,-0.108486291,0.875230061,2.398755237,2.202919021,-0.277271903,2.062696682,-1.211889249,0.220938613,-0.99516701,-1.034464701,-1.152448754,1.019748146,0.203580086,-0.894607214,0.619749251,-1.86929605,-0.145846385,-1.513696463,0.062944442,-1.226528042,-1.419628238,-1.054157027,-1.214242176,-0.05637884,-1.277340832,-0.183118248,0.57702684,-0.535713048,-0.763439215,-1.413949429,-1.304252732,-1.94763208,-0.683975648,0.880451997,0.382848112,-0.437589117,0.114193993,0.480642791,0.54703357,1.259731967,0.494770751,0.035159724,-1.400898005,2.154898919,2.270592269,0.269693197,0.299470668,1.354743667,0.411745858,1.885295175,-0.445719144,-0.923658809,0.430832234,-0.897282048,0.002751629,-0.209387522,0.275501293,-0.826591618,-0.576605541,0.602975518,-1.613068674,-1.469760046,-0.782566009,0.793645044,0.411602379,-0.415525427,0.305106474,0.204282096,0.921725063,-1.400176048,-1.191788746,-0.918710834,0.340383519,-0.792647685,-1.234112616,-0.726844061,-1.446515704,-0.974196201,-0.418160549,-1.152560748,-1.531774964,1.370921107,-0.40452643,-0.541956748,-0.335072285,-0.198148376,0.759233006,-0.551043844,0.023896554,0.540855538,3.121474242,2.99572151,-0.028699719,7.860074695,-0.910396267,1.396956547,2.532356081,-1.038202386,-2.032342045,0.480344501,-0.478599814,-0.78546815,-0.18951634,-0.649386865,0.13184207,0.896397831,3.387904641,0.597558203,-1.727233274,0.850745099,-0.826673216,-0.22721805,0.233950859,0.27316171,-1.033063974,-1.706022259,1.267269618,0.036403973,-0.060512271,2.146906971,1.14029116,0.735323735,0.502043544,-0.842245626,0.191188555,1.891691234,1.389811564,2.747678244,2.820799888,-2.482277511,-0.920471422,1.640038323,-0.570856948,-0.534125785,-0.674965995,-0.924012998,-1.496779171,-0.540725142,1.210704904
alsI,-1.527915967,-1.002581486,-0.835939899,-0.470595543,1.58848191,0.686483176,-0.059224067,-0.443754493,0.395176172,-0.288199359,0.267281037,1.458090421,-1.418215271,-0.334344163,-0.620045925,0.525486896,0.582398552,-0.045458346,-0.372494115,-0.991126149,0.025670712,-1.571183891,0.576348864,-1.21226303,-0.854502427,-0.895356079,0.700152604,0.013473685,-0.248657048,0.511240023,-0.132730176,-0.446417277,0.290097715,1.058796187,0.368162083,-0.749271452,-0.687644723,-1.668753658,-0.580155998,1.099532734,0.507301629,-0.514436161,0.205281005,0.214539401,-1.188214667,0.171918762,-0.395092386,0.214223928,0.097554006,0.198436302,2.07331753,-0.360076583,-0.488401129,-0.46828555,0.636740392,-0.286767186,0.77252759,0.060948376,1.483659176,-0.484246301,-0.359654277,-0.784608604,0.863525964,-0.281428495,-1.319196944,-0.395819909,-0.148335144,-1.317552709,-0.012308708,-0.561617763,0.881769268,0.5984017,0.489033328,0.453759612,-0.098748945,0.480801199,-0.401881597,0.812728646,0.02457039,1.359415812,-0.258352688,-0.556724527,-0.044695034,-0.179564537,0.542212373,0.825930969,-0.077645994,2.813765628,1.869450429,-0.224986322,0.66653654,0.487509022,-0.594300816,-0.553368538,0.154269639,-0.757517829,2.784313775,-0.276764321,-0.682987178,1.589097714,0.787927954,-0.210754701,0.062317339,-1.256350426,-0.11312108,-0.140388663,0.056077151,-0.84014313,1.070280926,-0.654081226,2.447064949,0.049812514,0.671454699,0.820524843,-0.105464015,-0.904684601,-0.890985269,0.651802803,2.537016105,0.850139453,0.531237146,-0.785165495,0.994519944,0.023653787,-0.246295212,3.200805604,2.016816431,0.383015317,1.065604143,-0.127904632,0.270153027,1.314732371,2.283229339,0.350372491,1.149502141,-1.125818415,0.602661438,-0.35612381,0.569734389,-0.855209543,-1.260895064,-0.808214082,-1.264420239,-0.792684179,-0.454800535
coaE,-0.546216775,1.21890227,0.852022303,0.294497552,-0.05139859,-0.012960445,-0.051694423,0.124611805,0.048493933,-0.326206448,-0.75891789,1.692887732,-0.021429882,-0.009146287,1.757640055,0.823916926,0.179776493,0.397861291,0.616749865,0.960427912,-0.059135399,-1.269942106,0.450944863,0.157678217,0.161612809,0.278939201,0.016251646,-0.638834957,0.858146807,-0.048282058,-0.315339927,-0.387463426,-0.345966873,-0.090258901,-0.371463978,-0.48315875,-0.254476484,-0.906938354,-0.322704348,-0.656998685,-0.021514836,-0.121435109,-0.575329542,0.029269295,-1.377124886,0.495271859,-0.866838491,-0.178109401,0.842625708,0.149265387,-0.271279837,3.24175056,-0.214542711,-0.786564691,-0.57359571,-1.09737752,-0.510663535,0.433262894,0.104845374,0.094326307,0.189483694,-0.901308141,-0.025490737,0.508118349,-1.330343518,-0.062261624,0.454518175,-1.182724358,1.294261537,-0.510929133,0.312804724,-0.43726935,-0.610444443,-1.472397159,-1.231000267,-0.286813651,-0.233716262,-0.62401578,-0.451168532,-1.015590807,-0.432731069,-1.43692282,-0.492475772,-0.544371496,-0.41258594,-0.929814922,-1.622522886,0.456496918,0.49065887,-0.40996822,-0.465784975,1.045626974,-0.658823247,-0.388598459,1.732795381,0.216736311,2.217854888,-0.34269786,-1.859637201,-0.173053771,0.404803631,0.170237689,0.254112972,1.670045297,-0.707852513,-0.638564697,0.724000673,-1.192557888,-0.297127999,-0.873494629,1.966667818,-1.180250554,-1.229864441,-0.570831493,0.535452922,-0.292906116,0.740856945,0.614932892,3.54123115,2.011702345,-0.14790228,-1.109617552,-0.221012984,0.129090075,-0.072744424,2.768126864,0.994993102,-0.111416108,-0.770989732,0.031035186,0.522131171,1.405111395,1.074822229,-0.977984303,-0.012839823,0.190382152,0.850333194,-0.069143696,0.603342786,-0.270873312,1.334199881,0.139330739,-0.05346121,-0.837088697,-0.770717316
yabP,1.397433755,2.469084175,0.307665715,-1.810395749,-0.424061511,-1.364503471,-0.207530013,0.570776304,-1.07121363,-1.0385567,0.342066976,1.326288403,3.815877978,-0.73269469,0.46733933,-1.321458465,1.567529666,4.09208342,-0.424769561,0.848167516,-0.206749216,-1.777709167,0.676907786,0.376463508,-0.644063338,1.086663597,-0.473004016,3.314721902,0.322950872,-0.968672801,-0.209084236,0.15145828,-1.103934881,1.881449305,0.398326818,2.657383756,2.678047876,0.468311435,-1.227868295,-0.841025843,-1.502438409,-1.541315973,-1.026543195,1.095482616,0.021788168,0.370136225,-0.222976462,-0.119384674,-1.025878405,-0.56957959,1.058459732,-0.940909012,-0.677870288,1.610530153,-1.542491255,0.965237866,-0.064543066,-0.468864585,-1.029907642,0.007109631,-0.312234196,-0.257414289,1.070463997,-0.662974132,-0.503349037,-0.328780743,-0.581767778,-1.892800889,0.016680058,-0.991663422,4.051114122,-0.246370726,-0.593525904,-0.076329622,-1.166519935,0.580983017,-1.372302057,1.903654524,1.115024732,0.813991236,-1.436139846,0.532691929,-0.078313253,1.728681958,-0.302862512,-0.792844198,0.484192078,-1.077324637,0.019130504,-0.448285681,3.977026268,-1.555560512,-1.013976628,-1.254898083,-0.444613337,-0.498011238,1.337694464,1.459278416,-2.236054719,0.327183998,-0.664491965,-1.265515699,-1.032452941,0.094682381,0.28279156,0.056551126,-0.940982596,-0.867787435,-0.159688045,-0.553701752,0.814806065,-1.646501318,-0.393712614,-1.814579131,-1.129516004,-0.570324983,0.394795548,1.844726008,6.155975496,0.677023662,-0.503052856,-0.840575493,-0.019721597,-1.262442691,1.63874076,2.652445788,0.585666791,-0.682915171,-1.709967731,-0.816213258,-0.886891019,4.043715368,-1.571898814,-0.376726916,0.290360757,-2.031544527,2.373783494,1.535976494,-1.676431857,-0.693642517,0.403431119,-0.836523682,-0.960588788,3.41398167,0.576919406
yhiJ,1.161178741,2.774029956,0.786550327,0.440421437,-0.594141832,-0.144348981,1.588445406,-0.396557585,-1.161672021,-1.582398507,0.539396915,1.079544574,1.285510725,-0.646566026,2.837175982,0.693234618,1.549845199,-0.320855315,0.534565286,1.746565961,-0.167503851,-0.391089014,2.257326595,1.201289748,-0.705413813,0.891011878,1.782314663,3.791129901,2.495731872,-0.815544972,-0.26040107,-0.533095368,-0.532815635,-0.914857263,0.29585238,1.430613322,1.452008391,-0.616180254,-0.302440985,-0.911591647,-0.757760662,-0.809934552,0.035753921,1.570581379,-1.104013438,-0.144276811,-1.099714034,-0.627578645,1.204839818,-0.721618132,-0.055754571,0.124458922,-1.697480637,-1.186343431,-0.781921035,-1.533721277,-0.549852695,-0.480153169,-1.060269358,0.528580836,-0.481637897,0.50890822,1.013055646,-0.473407305,1.367984769,-0.834725045,1.317920269,-0.176626287,1.102228879,-1.377652946,-0.743131159,-0.351448911,-1.128017714,-1.461937607,-0.65535584,0.406850152,-1.001513262,-0.746243056,-0.726314041,-0.608389386,-0.436585464,-0.135244865,-0.452754691,-0.689447464,-0.383634258,-1.323534373,0.459652283,-0.779045351,0.802987781,-0.640278818,0.174013616,0.484852431,-0.880544539,-0.671866931,0.176289714,-0.269615125,2.248398722,-1.209194858,-1.257755703,-1.545307582,-0.5297282,-0.704893797,-1.318346445,0.762155331,-0.359038355,-1.204879913,-0.764178785,-1.117692977,-0.415191027,-0.679279029,3.815241892,-0.770935208,-1.887756635,-1.194512902,1.727410794,-0.382463124,1.508781854,2.346103345,3.222394464,0.214747128,-0.830759583,-1.159790322,-0.861716078,-1.345936755,-0.32736521,3.111039972,0.10571974,-1.26824119,-0.859347708,-0.268711897,0.431903713,-0.169286498,1.00922213,-1.814045958,-1.313210113,-0.469183446,-0.793732801,1.135773438,0.818133046,-0.347441859,0.224195454,0.409425288,0.40539165,1.819152031,-0.623685516
talB,0.210414124,1.031551198,-0.53103488,-0.759407802,-1.05729502,-1.147521686,-0.16240065,0.502632003,-1.252103195,1.324711704,-1.066405356,-0.77628644,-0.219501233,-0.790337852,0.385331138,-0.663004315,0.114064976,1.143527525,3.087280224,1.512715718,-0.158141612,-0.623156529,0.154505538,0.426178873,0.123924551,-1.262262701,-0.776521815,-1.365450954,-0.469463824,0.220668346,-1.03270797,-0.601980565,-1.622913224,-0.877615623,-1.204108264,-0.447065357,-0.00550595,-1.208603583,1.616873096,-0.573539601,-1.661486455,-0.415283235,-1.178901095,0.314576032,-0.834237215,-0.653600275,4.278881223,-1.619938952,-0.107712402,-1.01460245,1.796822336,1.70203264,0.315583424,1.864778965,-1.236003133,0.195719744,-0.75767041,-0.623536764,-0.621116587,-1.025014949,0.456999284,-0.175874404,1.998242714,-0.955741736,-0.931489325,-1.050504838,-0.843009705,-1.402968691,-0.333845411,1.97275378,1.355255229,-0.328250571,-0.323829644,-0.426903985,-1.197944445,-0.991673116,-1.650575613,-2.045631984,0.06728726,1.379467378,0.37988229,-1.813584652,-0.338411699,-1.277463914,-0.316299545,-2.040756072,-1.35215402,-2.043887015,0.133172313,0.868050082,0.54023116,-0.584494851,0.790237902,0.177375402,2.62321674,-0.790695317,-0.511575697,0.375876077,0.658327014,0.961803297,-0.604593553,0.778135744,1.078377162,1.524139255,-1.231794882,1.244081647,0.734671528,-1.886380192,-1.480040584,0.011512255,0.116608973,1.875153071,0.510663492,-1.112738671,-1.520424708,-0.374323073,0.725719413,1.216576956,-0.350828169,-1.75011983,1.704078515,-1.0494629,0.799938038,0.534582034,1.052654933,3.157558774,-1.247709989,-1.366197323,-0.498435906,-1.157578726,-1.153077283,1.088950061,2.65350967,0.993001086,1.88895117,-1.608933272,-0.696515394,-0.763401755,-1.436378837,-0.055172784,-0.32177397,-0.013876981,-0.571024594,-0.910643929,-0.322048596
rumA,-0.55848932,1.723084711,-0.445010523,-0.332495693,-0.154050103,0.129560519,0.085556895,0.354545487,-0.57734213,-0.10121015,-0.006431916,0.074257483,0.515226401,-0.162091468,1.536183165,0.307335281,-0.518174252,-0.149654067,-0.023718848,0.211806972,-0.240303992,-0.355957686,0.413406714,-0.481210229,-0.556916172,-1.264573733,-0.30040699,-0.665894298,0.046970181,0.224838202,-1.211823374,-0.184125913,-0.722977952,-0.13851429,0.121555131,-0.725434722,-0.271418262,0.47135761,0.766960846,-0.634288468,-0.805915731,-0.641909577,1.348048103,-0.051358498,-0.151552393,0.333916515,0.234312893,-0.74427922,0.038689647,-0.335904737,-0.152525276,0.816191833,-0.43949109,-0.026594431,0.54771242,-0.055122338,0.512225067,0.110595681,-0.111338348,-0.076796011,0.502824826,-1.125626431,0.425687221,0.253047467,-0.506968523,-0.104981626,-0.360332068,0.375398292,-0.306510884,-0.069598796,0.141811049,0.695371627,0.298782081,0.470188371,-0.37289607,-0.300356606,-1.087206137,-0.898612318,-0.071948845,-0.099879475,0.74182122,-0.034336671,-0.06305309,-0.375890532,0.69402537,-0.152555025,-0.060341918,-0.377364204,-0.290249089,-0.402371063,-0.202162214,0.002938082,0.268431138,-0.131800494,0.962727521,-0.338525494,2.095223786,0.293069351,-0.661897209,0.019424463,0.102212273,-0.506351516,-0.886645318,0.282308773,-0.309785905,0.468624704,0.631058354,-0.92092196,0.207375826,0.483262391,1.453901893,-0.584250469,0.43605157,0.45833976,0.434181176,-1.052271735,-0.487209124,0.67110793,0.59387884,-0.575043441,0.448490328,-0.478126786,0.666067075,-0.053552832,1.456731645,2.406593333,0.5198879,-0.712301429,0.075756376,-1.193105216,-0.218233095,0.736004043,0.186712429,0.264905338,0.225754036,-0.27091881,-0.04486242,-0.845219706,0.069307148,-0.807870567,-0.555198459,-0.415358099,-0.662568398,-0.152527784,-0.912927183
yabI,-1.119414414,-0.866600751,-0.64769162,-0.581015474,-0.160306636,0.0863916,-1.493416668,0.967977226,-0.527115877,0.16065448,1.563828226,-0.30527056,0.075719328,-0.308129891,0.769419694,-0.637626182,-0.949292702,-0.256638285,-0.603897909,-0.736635498,-0.103594287,-0.428747175,0.91066591,-1.475795465,-1.223157065,-1.045807986,0.094322254,-0.910319868,-0.958926207,0.428137764,-1.001750648,0.708668638,-0.630000951,-0.061606299,1.179415642,-0.238588817,0.25175932,0.082805948,-0.243636893,-0.584231334,-0.568865203,-0.764180093,2.244092612,0.468759857,0.220693642,1.223884285,0.478433438,-0.597765832,0.571502849,-0.622562632,0.794004649,-0.786042142,0.666929175,0.407522267,1.706152981,0.372187925,1.38387357,0.459919192,1.097345483,-0.562847402,0.342283194,-1.425925916,0.298673292,0.412423845,-0.252430608,0.902306249,-0.648652494,0.571001263,-0.222778808,0.914031199,0.850397197,0.86121504,1.228612154,0.278634568,0.028024984,1.323160318,-0.157851634,-0.006041051,0.159388867,0.672241274,-0.421043301,0.674574749,1.287449602,1.197093959,0.848753914,0.711570928,-0.178102544,0.234400712,0.673220077,0.298699164,0.815480707,0.173821384,1.582787458,-0.601748068,-0.062330818,-0.565730924,2.786374091,0.358843103,-0.42849081,0.314950307,0.333886618,-0.276838768,-1.34106335,-0.830313865,0.583506902,1.32855109,-0.40765403,-0.532949295,1.803493056,0.119350597,1.185129145,-0.681844627,0.941716726,0.817272178,-0.230788941,-1.743118048,-0.895423868,0.723986336,0.042909898,-0.342111253,0.050019737,0.042176208,0.834442649,-1.01028269,1.297845271,1.895739806,1.433400868,-0.541476897,0.459556248,-0.954142447,-0.177826307,0.24528773,0.098335706,0.090510241,0.419467538,-0.865207411,-0.761426803,-1.145339285,-0.308276073,-1.120497727,-1.619029976,-0.652308409,-1.165588158,-0.966098734,-0.785466669
yeaX,-0.352071755,-0.957457182,-1.081348164,-1.306819978,0.875024512,1.155957301,-1.05148551,-0.027280654,-0.380803202,-0.202601233,1.846869232,-0.137293673,-0.350777812,-0.24562792,0.483586673,-0.874424634,-0.716611381,0.407157486,-0.419373791,-0.979345329,-0.045065741,-0.301870151,0.875957842,-0.82627095,-0.568834956,-0.840541521,0.505502398,-0.142972996,0.056634167,-0.075454765,-0.919282069,-0.150994575,-0.324473382,-0.240591156,1.07770984,0.242280395,-0.17673188,-0.169002043,-0.341272335,3.383431344,0.119081498,-0.515015864,1.716385951,0.201813274,-0.665264813,1.388107732,-0.26631943,-0.394555665,-0.556592421,-0.01632491,0.776526579,-0.428361084,0.340891956,0.431715755,1.958800618,0.218754702,1.629029122,0.697648397,1.648266482,-0.966384352,0.170480678,-1.141082902,-0.147548874,-0.628921056,-0.417841045,0.366573453,-1.095217761,0.296977913,-0.493295112,0.582656284,0.637314454,0.768247274,1.055708707,0.072985853,0.403022817,1.874916586,-0.32832061,-0.080976382,0.392625642,0.496150063,-0.865168415,0.820664638,1.200695931,0.389452733,0.749776247,0.275207345,-0.344255597,0.279770464,0.316741533,0.285635832,0.439446624,-0.870050174,0.814607273,-0.544065398,-0.733930804,-0.786508532,1.785810106,0.468220725,-0.890681621,0.71035543,0.274322557,-0.060945711,-0.771494851,-0.607098724,0.814303379,0.457732401,-0.198223072,0.379483125,2.187800874,0.515125702,0.187750908,-0.387933743,1.501472482,1.472404865,-0.434519335,-1.581244688,-1.363189143,0.696054477,-0.822501036,-0.659503408,0.843091324,0.346593465,0.012060205,-0.444269024,0.589214245,1.653330753,1.492376935,-0.352732843,1.30984041,-1.504880761,-0.509576836,0.119172379,-0.304959723,0.329546152,-0.205495749,-2.052311928,-1.023694835,-1.186849278,0.016927573,-1.210241873,-1.764901055,-0.059471075,-0.650187856,0.34277336,-0.738022207
